id,dates,organization,specialties,facility_location,country,link,longterm_mission,mission_comments,charges_to_patients,location_information,sponsoring_organization,organization_url,organization_phone,sponsoring_contacts
33049,Long-term,The Rasin Foundation,"Dentistry, Family or General Practice",Le Petite-Riviere Health Center,Haiti,"<a href=""/missionrecords/le-petite-riviere-health-center"">view</a>",Yes,The center provides basic health care services and dispenses medications. Staffed full time by a nurse and interpreter/medical assistant. Short term medical/dental teams are welcome.,Free,"['Le Petite-Riviere Health Center', 'Petite Rivi', 'Artibonite', 'Haiti']",The Rasin Foundation,http://www.rasinfoundation.org/,(708) 872-7460,
33050,Long-term,Lifeline Christian Mission,"Dentistry, Family or General Practice, General Surgery",Lifeline Christian Health Center Grand Goave,Haiti,"<a href=""/missionrecords/lifeline-christian-health-center-grand-goave"">view</a>",Yes,"Includes exam/treatment rooms, pharmacy, storage area, surgery area, dental clinic and medical triage area. Staffed with Haitian workers full-time and welcomes health care groups.",,"['Lifeline Christian Health Center Grand Goave', 'Grand Goave', 'Ouest', 'Haiti']",Lifeline Christian Mission,http://www.lifeline.org,614-794-0108,
33051,Long-term,Lifeline Christian Mission,"Dentistry, Family or General Practice, General Surgery",Lifeline Christian Health Center Port-au-Prince,Haiti,"<a href=""/missionrecords/lifeline-christian-health-center-port-au-prince"">view</a>",Yes,"Includes exam/treatment rooms, pharmacy, storage area, surgery area, dental clinic and medical triage area. Staffed with Haitian workers full-time and welcomes health care groups.",,"['Lifeline Christian Health Center Port-au-Prince', 'Port-au-Prince', 'Ouest', 'Haiti']",Lifeline Christian Mission,http://www.lifeline.org,614-794-0108,
33052,Long-term,Maison de Naissance,"Family planning services, HIV Treatment, Lab Services, Midwife, Obstetrics and Gynecology, Vaccinations",Maison de Naissance,Haiti,"<a href=""/missionrecords/birthing-home-and-community-health"">view</a>",Yes,"Partners include the Episcopal Church, St. Luke's Hospital, and the UMKC School of Medicine (Kansas City)",None,"['Maison de Naissance', 'Torbeck', 'Sud', 'Haiti']",Maison de Naissance,http://www.maisondenaissance.com/,816.812.7100,
33053,Long-term,Jeff Cherubin N. Domond Foundation,Family or General Practice,Marbial,Haiti,"<a href=""/missionrecords/jeff-c-domond-foundation-medical-mission-jacmel"">view</a>",Yes,"The team will be located at the Parish of St Therese. This foundation is seeking medical professionals -doctors, dentists, nurses, etc. to travel to Haiti in order to alleviate some people of their health problems. Please visit JeffCDomondFoundation.org or email us at ",None,"['Marbial', 'Jacmel                   Department du Sud-Est', 'Jacmel', 'Sud-Est', 'Haiti']",Jeff Cherubin N. Domond Foundation,jeffcdomondfoundation.org,(909) 816-7207,
33054,Long-term,Mother Health International,"Midwife, Obstetrics and Gynecology",Mother Health Internat'l. (MHI) Birthing Center,Haiti,"<a href=""/missionrecords/mother-health-international-mhi-birthing-center"">view</a>",Yes,24 hr. birthing center staffed by midwives. Sends midwives to Cayes-Jacmel - Wed/accepts referrals from Pinchinat,,"[""Mother Health Internat'l. (MHI) Birthing Center"", 'St. Helen Parish', 'Jacmel', 'Sud-Est', 'Haiti']",Mother Health International,http://motherhealthinternational.org/,,
33055,Long-term,Doctors without Borders,Family or General Practice,MSF Primary Care Clinic,Haiti,"<a href=""/missionrecords/msf-primary-care-clinic-martissant"">view</a>",Yes,Clinic offers primary health care and outreach to victims of violence.,,"['MSF Primary Care Clinic', 'Port-au-Prince (Martissant)', 'Ouest', 'Haiti']",Doctors without Borders,#http://www.doctorswithoutborders.org#,(212) 679-6800,
33056,Long-term,Northwest Haiti Christian Mission,"Burn care, Family or General Practice, General Surgery, Midwife, Obstetrics and Gynecology, Physical Therapy",Northwest Haiti Christian Mission (NWHCM),Haiti,"<a href=""/missionrecords/long-term-services-0"">view</a>",Yes,"Mission includes a surgical unit, burn unit, physical therapy/occupational therapy center, center for premature babies, and nutrition programs. By end of year, ability to perform C-sections at Tender Lambs birthing center.",,"['Northwest Haiti Christian Mission (NWHCM)', 'Saint-Louis du Nord', 'Nord-Ouest', 'Haiti']",Northwest Haiti Christian Mission,http://www.nwhcm.org,(502) 695-7870.,
33057,Long-term,Notre Dame de la Merci Health Clinic,Family or General Practice,Notre Dame de la Merci Clinic,Haiti,"<a href=""/missionrecords/notre-dame-de-la-merci-health-clinic"">view</a>",Yes,"Partnered w/St. Rose of Lima, Murfreesboro, TN. The clinic is staffed with 1 doctor and 1 nurse.",,"['Notre Dame de la Merci Clinic', 'Robillard', 'Nord-Ouest', 'Haiti']",Notre Dame de la Merci Health Clinic,http://www.citizencommandcenter.org/shelters/show/5524,,
33058,Long-term,Open Door Haiti Medical Clinic,"Family or General Practice, Nurse Practitioner, Obstetrics and Gynecology, Pediatrics",Open Door Haiti Medical Clinic,Haiti,"<a href=""/missionrecords/open-door-haiti-medical-clinic"">view</a>",Yes,"Open Door Haiti Medical Clinic services include consultation rooms, a small surgery suite, a labor and delivery room, a laboratory, a pharmacy and a nutrition/hygiene center. In addition, medical and dental teams regularly visit the clinic to bring specialized care.",,"['Open Door Haiti Medical Clinic', 'Bois De Lance', 'Nord-Ouest', 'Haiti']",Open Door Haiti Medical Clinic,http://opendoorhaiti.com/ministries/clinic,407-399-8406,
33059,Long-term,Sove Lavi,Family or General Practice,Org. Sove Lavi Clinic,Haiti,"<a href=""/missionrecords/organisation-sove-lavi-clinic-formerly-simeus-foundation-clinic"">view</a>",Yes,"Open five days a week, with 13 permanent local staff, and visiting teams from the US. Medical missions who provide specialty services at the clinic, including dentists, ophthalmologists and optometrists.","Patients asked to contribute the equivalent of US 30 cents, but all are treated regardless of ability to pay.","['Org. Sove Lavi Clinic', 'Pont-Sond', 'Artibonite', 'Haiti']",Sove Lavi,www.sovelavi.org#http://www.sovelavi.org#,(817) 473-5246,
33060,Long-term,Doctors without Borders,"Burn care, Physical Therapy, Prosthetic Services, Rehabilitation Medicine",Pacot Center (run by Doctors without Borders),Haiti,"<a href=""/missionrecords/pacot-rehabilition-center"">view</a>",Yes,"This is a post-surgical rehabilitation center for patients with fractures from car accidents, paralysis from gunshot wounds, amputated limbs, or those with serious burns. The center's staff also provides follow-up medical or surgical consultations, and physical therapy for outpatients.",None.,"['Pacot Center (run by Doctors without Borders)', 'Port-au-Prince (Pacot)', 'Ouest', 'Haiti']",Doctors without Borders,#http://www.doctorswithoutborders.org#,(212) 679-6800,
33061,Long-term,Haitian Christian Mission,Family or General Practice,Pillatre Christian Center,Haiti,"<a href=""/missionrecords/pillatre-christian-center-longterm-mission"">view</a>",Yes,1 F/T primary doctor at clinic,,"['Pillatre Christian Center', 'Cap-Haitien', 'Nord-Ouest', 'Haiti']",Haitian Christian Mission,http://www.haitianchristianmission.org/,800-721-4955,
33062,Long-term,Haiti Outreach Ministries (HOM),Nurse Practitioner,Port-au-Prince (Cite-Soleil),Haiti,"<a href=""/missionrecords/haiti-outreach-ministries-medical-clinic"">view</a>",Yes,Permanent clinic with full-time nurse practitioner. Visiting teams welcome.,Nominal fee.,"['Port-au-Prince (Cite-Soleil)', 'Port-au-Prince (Cit', 'Ouest', 'Haiti']",Haiti Outreach Ministries (HOM),http://www.haitioutreachministries.org/,330-2112,
33063,Long-term,Project Medishare,"General Surgery, Orthopedics",,Haiti,"<a href=""/missionrecords/project-medishare-univ-miami-global-institute-field-hospital"">view</a>",Yes,This 240 bed field hospital on the edge of P-au-P airport has 4 ORs. UM is accepting short- and long-term medical and hospital admin volunteers: ,none.,,Project Medishare,http://www.projectmedishare.org/programs_medical_trips.php,(305) 762-6448,
33064,Long-term,Haiti Bethlehem Project,"Emergency Medicine, Family or General Practice, Pediatrics",Rapha Clinic,Haiti,"<a href=""/missionrecords/rapha-clinic"">view</a>",Yes,"provides basic health care services, 2 Haitian doctors and 3 Haitian nurses along with visiting medical teams",,"['Rapha Clinic', 'Port-au-Prince', 'Port-au-Prince', 'Ouest', 'Haiti']",Haiti Bethlehem Project,http://www.haitibethlehemproject.org/Home_Page.php,770-324-1250,
33065,Long-term,Rayjon Share Care Int,"Family or General Practice, Nurse Practitioner, Vaccinations",Rayjon Share Care Haiti (RSCH),Haiti,"<a href=""/missionrecords/rayjon-share-care-haiti-rsch"">view</a>",Yes,RSCH operates 2 dispensary,,"['Rayjon Share Care Haiti (RSCH)', 'Bertrand', 'Ouest', 'Haiti']",Rayjon Share Care Int,,,
33066,Long-term,Haiti Medical Mission of Wisconson,Family or General Practice,Sacred Heart Clinic (Sacre Coeur),Haiti,"<a href=""/missionrecords/sacred-heart-clinic-sacre-coeur"">view</a>",Yes,Clinic is staffed by a Haitian nurse when teams from Wisconsin are not present. Sometimes Cuban doctors are available as well.,Free care.,"['Sacred Heart Clinic (Sacre Coeur)', 'Thiotte', 'Sud-Est', 'Haiti']",Haiti Medical Mission of Wisconson,http://www.haitimedicalmission.com/,608-356-8927,
33067,Long-term,Catholic Church of St. Monica Haiti Twinning Program,Family or General Practice,Sacred Heart Parish,Haiti,"<a href=""/missionrecords/saint-monicas-haiti-whitney-clinic"">view</a>",Yes,"Clinic is open M-F, year round, staffed by Haitian doc, Dr. Dagerus, a nurse, a clinic manager and a pharmacy tech. St. Monica's sends missions 2-3x a year but the bulk of the care given to our patients is done by the Haitian doc, Dr. Dagerus, and his staff. In June, clinic usually have a radiologist with a portable ultrasound and a cardiologist to read ECHO's.",None.,"['Sacred Heart Parish', 'Hinche', 'Centre', 'Haiti']",Catholic Church of St. Monica Haiti Twinning Program,#http://www.saintmonicasinhaiti.com#,770-497-9746,
33068,Long-term,Christian Service International (CSI Ministries),Family or General Practice,SIF Centre de Sante (CSI Ministries),Haiti,"<a href=""/missionrecords/sif-centre-de-sante"">view</a>",Yes,Christian Service International (CSI Ministries)operates this clinic. Full-time Haitian doctors and nurses on staff. Average of 100 patients a day. CSI send 7-8 surgical trips/year.,,"['SIF Centre de Sante (CSI Ministries)', 'Croix-des-Bouquets', 'Ouest', 'Haiti']",Christian Service International (CSI Ministries),http://www.csiministries.org,(765) 286-0711,
33069,Long-term,St. Elizabeth Ann Seton Catholic Church: Haiti Council,Nurse Practitioner,St Genevieve Catholic Church,Haiti,"<a href=""/missionrecords/st-genevieve-catholic-church-health-clinic"">view</a>",Yes,A doctor from Port au Prince comes to this free standing clinic next to St. G approximately twice per month. There is a nurse that stays at the clinic for 6 days of the week. Sponsoring org. St. Elizabeth Ann Seton sends short term medical and dental missions.,None.,"['St Genevieve Catholic Church', 'Duval', 'Ouest', 'Haiti']",St. Elizabeth Ann Seton Catholic Church: Haiti Council,http://www.setonhaiti.com/,317-846-3850,
33070,Long-term,St. Anthony's Clinic,"Family or General Practice, Pediatrics",St. Anthony's Clinic,Haiti,"<a href=""/missionrecords/st-anthonys-clinic"">view</a>",Yes,St. Anthony's Clinic is a 3 room medical clinic staffed by a nurse and medical assistant 5 days a week. A local doctor visits the clinic one day a week.,,"[""St. Anthony's Clinic""]",St. Anthony's Clinic,http://saintanthonysclinic.wordpress.com/,,
33071,Long-term,St. Boniface Haiti Foundation,"Family or General Practice, HIV Treatment, Midwife",St. Boniface Hospital satellite clinic,Haiti,"<a href=""/missionrecords/st-boniface-hospital-satellite-clinic-villa"">view</a>",Yes,"St. Boniface is providing the staff, medical supplies, and daily oversight of clinic operations. A doctor and two nurses will work Monday through Friday and a midwife will visit regularly for prenatal care. In addition to primary care for the surrounding area this clinic will provide HIV/AIDS testing and treatment.",,"['St. Boniface Hospital satellite clinic', 'Villa', 'Honduras']",St. Boniface Haiti Foundation,http://www.haitihealth.org/,904-272-5085,
33072,Long-term,The Immaculate Conception Haiti Mission,Family or General Practice,St. Jules Clinic,Haiti,"<a href=""/missionrecords/st-jules-clinic"">view</a>",Yes,"This primary care clinic operates year round with part time Haitian doctors, two full time Haitian nurses, a lab technician, a pharmacist, a clinic administrator and two clinic support staff. St. Jules works in close collaboration with Hospital Sacre Couer in Milot, Haiti.",,"['St. Jules Clinic', 'St. Jules Parish', 'Petit Bourg du Borgne', 'Nord-Ouest', 'Haiti']",The Immaculate Conception Haiti Mission ,http://www.immaconception.org/ministries.html,931-503-1406,
33073,Long-term,St. Malachy Clinic,Family or General Practice,St. Malachy Clinic,Haiti,"<a href=""/missionrecords/st-malachy-clinic"">view</a>",Yes,"St. Malachy Clinic offers basic health care services to the Port Margot community. Staffed daily with a doctor and nurse. In addition, the clinic hosts medical and dental missions.",,"['St. Malachy Clinic', 'Port Margot', 'Port Margot', 'Nord-Ouest', 'Haiti']",St. Malachy Clinic,http://www.saintmalachyparish.org/special/haiti/haiti_home.html,"317.852.3195- (St. Malachy Parish, Brownsburg, Indiana)",
33074,Long-term,Help Brings Hope For Haiti- St. Suzanne Clinic,Family or General Practice,St. Suzanne Clinic,Haiti,"<a href=""/missionrecords/st-suzanne-clinic"">view</a>",Yes,"The medical clinic at St. Suzanne offers the services of three examining rooms, one doctor, one nurse and a small storage room for its inventory of medicine.","Villagers are expected to pay some fee for treatment if they are able, however, no one is turned away if even a small payment is not possible.","['St. Suzanne Clinic', 'St. Suzanne', 'Nord-Est', 'Haiti']",Help Brings Hope For Haiti- St. Suzanne Clinic,http://www.hbhh.org/index.html,813-258-5558,
33075,Long-term,Coalition of Children in Need Association (COCINA),"Family or General Practice, Obstetrics and Gynecology",Univers Medical Center,Haiti,"<a href=""/missionrecords/univers-medical-center"">view</a>",Yes,"3-story medical clinic sponsored by COCINA. Open 30-40 hours/week. Has OB/Gyn OR, laboratory,Eye exam and eye procedure rooms,Dental procedure rooms and Maternity room and birthing room. FT GP and OB on staff. The clinic is especially interested in receiving visiting surgeons and other specialists who can provide services that can",,"['Univers Medical Center', 'Ouanaminthe', 'Nord-Est', 'Haiti']",Coalition of Children in Need Association (COCINA),#http://www.haiticocina.org/#,,
33076,Long-term,Youth With a Mission (YWAM) Haiti St. Marc Clinic,"Emergency Medicine, Family or General Practice, General Surgery",YWAM Clinic,Haiti,"<a href=""/missionrecords/ywam-clinic"">view</a>",Yes,Provides basic health care services as well as some surgical procedures. Staffed by short term mission teams.,,"['YWAM Clinic', 'St. Marc Parish', 'Saint-Marc', 'Artibonite', 'Haiti']",Youth With a Mission (YWAM) Haiti St. Marc Clinic,http://www.ywamhaiti.org/ywam-clinic-established-in-st-marc/,HT- 509-2547-7072    US-717-826-5600,
33077,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Centre de Sante de Cerca La Source,Haiti,"<a href=""/missionrecords/centre-de-sant"">view</a>",Yes,"Primary care clinic. It is a permanent public facility. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Centre de Sante de Cerca La Source', 'Cerca La Source', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33078,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Lab Services, Tuberculosis Treatment","Centre de Sante de Lascahobas, Hopital de Lascahobas",Haiti,"<a href=""/missionrecords/centre-de-sant-1"">view</a>",Yes,"Lascahobas is a fully-outfitted AIDS clinic and primary care clinic. It is a permanent public facility. It has some surgical capacity. Surgical trips, if any, are coordinated through the Boston PIH office. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at Cange but travel to all the sites.",No one is turned away if he/she cannot afford to pay.,"['Lascahobas', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33079,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Centre de Sante de St. Michel,Haiti,"<a href=""/missionrecords/centre-de-sant-2"">view</a>",Yes,"Primary care clinic. It is a permanent public facility. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Centre de Sante de St. Michel', 'Boucan Carr', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33080,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Centre de Sante de Thomonde,Haiti,"<a href=""/missionrecords/centre-de-sant-0"">view</a>",Yes,"Primary care clinic. It is a permanent public facility. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Centre de Sante de Thomonde', 'Thomonde', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33081,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Centre Medical Charles Colimon,Haiti,"<a href=""/missionrecords/centre-m"">view</a>",Yes,"Primary care clinic. It is a permanent public facility. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Centre Medical Charles Colimon', 'Petite Rivi', 'Artibonite', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33082,Long-term,Fellow Man International,"Family or General Practice, Internal Medicine, Lab Services, Obstetrics and Gynecology, Pediatric Surgery, Pediatrics",Claire Heureuse Hospital (D.R.H.P.),Haiti,"<a href=""/missionrecords/claire-heureuse-hospital-drhp"">view</a>",Yes,"This is a 60 bed hospital providing surgical, pediatric, obstetrical and general medical services, as well as operating 10 affiliated outlying medical clinics.",,"['Claire Heureuse Hospital (D.R.H.P.)', 'Dessalines', 'Dessalines', 'Artibonite', 'Haiti']",Fellow Man International,,785-823-1341,
33083,Long-term,Haiti Ministry of Public Health and Population,"Family or General Practice, Family planning services, Midwife, Pediatrics, Tuberculosis Treatment, Vaccinations",Clinic at St. Paul's,Haiti,"<a href=""/missionrecords/clinique-st-paul"">view</a>",Yes,"Collaboration between Haiti Ministry of Health and several private non profit organizations. Enlists several dozen community health workers to care for an area with a population over 15,000.",,,Haiti Ministry of Public Health and Population,,,
33084,Long-term,Snohomish Community Church Haiti Missions,"Family or General Practice, General Surgery, HIV Treatment, Infectious Disease, Tuberculosis Treatment","Clinic De Reference, Hospital Passe Catabois",Haiti,"<a href=""/missionrecords/clinic-de-reference-hospital-passe-catabois"">view</a>",Yes,,,"['Passe Catabois', 'Nord-Ouest', 'Haiti']",Snohomish Community Church Haiti Missions,www.snocommchurch.org#http://www.snocommchurch.org#,(425) 334-9181,
33085,Long-term,Village Partners International,"Emergency Medicine, Family or General Practice, Midwife, Obstetrics and Gynecology, Pediatrics, Tuberculosis Treatment",Covenant Hospital,Haiti,"<a href=""/missionrecords/covenant-hospital"">view</a>",Yes,,,"['Covenant Hospital', 'Mombin Crochu', 'Nord-Est', 'Haiti']",Village Partners International,#http://villagepartnersinternational.org#,(813) 618-9002,
33086,Long-term,Promise for Haiti (formerly Christian Mission of Pignon),"Dentistry, Family or General Practice, General Surgery, HIV Treatment, Obstetrics and Gynecology, Ophthalmology, Pediatrics",Hopital de Bienfaisance in Pignon,Haiti,"<a href=""/missionrecords/hopital-de-bienfaisance-pignon"">view</a>",Yes,"This is a full-time mission with family practice year-round. The director of the hospital, Dr. Guy Theodore, is a general surgeon who practices part-time, in addition to his general duties as director of the hospital.","Pignon is a charity hospital. No one is turned away if he/she cannot afford to pay. However, if a person can afford to pay, a small fee will be charged.","['Hopital de Bienfaisance in Pignon', 'Pignon', 'Nord-Ouest', 'Haiti']",Promise for Haiti (formerly Christian Mission of Pignon),http://www.pignon.org/NewFiles/CMP.html,813-960-7523;813-843-3878cel.,
33087,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Hopital Notre Dame de la Nativite,Haiti,"<a href=""/missionrecords/h-1"">view</a>",Yes,"Primary care clinic with some surgical capacity. It is a permanent public facility. Surgical trips, if any, are coordinated through the Boston PIH office. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Hopital Notre Dame de la Nativite', 'Belladere', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33088,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Hopital St. Therese,Haiti,"<a href=""/missionrecords/h-0"">view</a>",Yes,"Primary care clinic with some surgical capacity. It is a permanent public facility. Surgical trips, if any, are coordinated through the Boston PIH office. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Hopital St. Therese', 'Hinche', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33089,Long-term,Project Medishare,"Emergency Medicine, General Surgery, Lab Services, Physical Therapy, Radiology, Rehabilitation Medicine, Tuberculosis Treatment",Hospital Bernard Mevs,Haiti,"<a href=""/missionrecords/hopital-bernard-mevsproject-medishare"">view</a>",Yes,Trauma and rehabilitation hospital with CT scanner and NICU/PICU. Operated with Project Medishare.,,"['Hospital Bernard Mevs', 'Port-au-Prince', 'Port-au-Prince', 'Ouest', 'Haiti']",Project Medishare,http://www.projectmedishare.org/programs_medical_trips.php,(305) 762-6448,
33090,Long-term,Brenda Stafford Foundation,"Ophthalmology, Otolaryngology",Institut Brenda Strafford,Haiti,"<a href=""/missionrecords/institut-brenda-stafford"">view</a>",Yes,,,"['Institut Brenda Strafford', 'Les Cayes', 'Sud', 'Haiti']",Brenda Stafford Foundation,,403-288-4446,
33091,Long-term,Lambert Sante Free Clinic,"Family or General Practice, General Surgery, Orthopedic Surgery, Orthopedics, Pediatric Surgery, Pediatrics, Plastic Surgery",Lambert Sante Free Clinic,Haiti,"<a href=""/missionrecords/lambert-sante-free-clinic"">view</a>",Yes,"The Lambert Sante Free Clinic is supported by the Real Medicine Foundation (RMF). The clinic provides emergency trauma care and care of complications from trauma, as well as orthopedic and reconstructive surgery.",,"['Lambert Sante Free Clinic', 'Petionville', 'Ouest', 'Haiti']",Lambert Sante Free Clinic,,,
33092,Long-term,St. Boniface Haiti Foundation,"Dentistry, Emergency Medicine, Family or General Practice, General Surgery, Obstetrics and Gynecology, Pediatrics, Vaccinations",Saint Boniface hospital,Haiti,"<a href=""/missionrecords/saint-boniface-hospital"">view</a>",Yes,"A 20-bed facility with a 24-hour emergency room and operating room. Serves a population of 45,000 rural poor. Services include inpatient and outreach to auxiliary clinic in Savane Henri. Also hosts U.S. surgical teams 4 times per year (general surgery).",,"['Saint Boniface hospital', 'Fond des Blancs', 'Sud', 'Haiti']",St. Boniface Haiti Foundation,http://www.haitihealth.org/,904-272-5085,
33093,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Tuberculosis Treatment",Services de Sante de Premier echelon,Haiti,"<a href=""/missionrecords/services-de-sant"">view</a>",Yes,"Primary care clinic with some surgical capacity. It is a permanent public facility. Surgical trips, if any, are coordinated through the Boston PIH office. Specialists (surgery, obgyn, pediatrics, opthalmology, infectious disease, etc.) are based mostly at H",No one is turned away if he/she cannot afford to pay.,"['Services de Sante de Premier echelon', 'Saint-Marc', 'Artibonite', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33094,Long-term,St. Damien Hospital,"Family or General Practice, HIV Treatment, Infectious Disease, Internal Medicine, Oncology , Pediatric Surgery, Pediatrics",St. Damien Hospital,Haiti,"<a href=""/missionrecords/st-damien-hospital"">view</a>",Yes,St. Damien,Free,"['St. Damien Hospital', 'Port-au-Prince', 'Port-au-Prince', 'Ouest', 'Haiti']",St. Damien Hospital,http://saintdamienhospital.nph.org/,,
33095,Long-term,St. Vincent's Center for Handicapped Children,"Audiology, Dentistry, Lab Services, Neurology, Orthopedics, Pediatrics, Physical Therapy, Prosthetic Services, Psychiatry",St. Vincent's Center for Handicapped Children,Haiti,"<a href=""/missionrecords/st-vincents-center-handicapped-children"">view</a>",Yes,05/28/2010-- f05/28/2010-- facility damaged in earthquake. currently operates in two locations,,"[""St. Vincent's Center for Handicapped Children"", '119 Rue Paul VI                   Latitude: 18.54545 Longitude: -72.34266', 'Port-au-Prince', 'Ouest', 'Haiti']",St. Vincent's Center for Handicapped Children,http://www.friendsofstvincents.org/medical.htm,,
33096,Long-term,Carroll Country Haiti Mission Project (CCHMP),"Dentistry, Family or General Practice, Nurse Practitioner",Carroll County Haiti Mission Project (CCHMP) medical/dental clinic,Haiti,"<a href=""/missionrecords/carroll-county-haiti-mission-project-medicaldental-clinic"">view</a>",Yes,http://www.hitz.info/cchmp/cchmp.html,,"['Juampas', 'Centre', 'Haiti']",Carroll Country Haiti Mission Project (CCHMP),http://cchmp.tripod.com/,,
33097,Long-term,Fondation Bienfaisance,"Family or General Practice, Lab Services",Fondation Bienfaisance Centre Medical Camp,Haiti,"<a href=""/missionrecords/fondation-bienfaisance-centre-medical-camp"">view</a>",Yes,"Includes a laboratory, a pharmacy and a HIV Screening Center. Quality medical care is available from doctors,nurses and therapists experienced in the areas of Ob-gyn, Pre and Postnatal Care, Gynecology and Pediatrics.",,"['Fondation Bienfaisance Centre Medical Campêche', 'Port-au-Prince (Camp', 'Ouest', 'Haiti']",Fondation Bienfaisance,http://www.bienfaisance.org,,
33098,Long-term,Fondation Bienfaisance,"Family or General Practice, Lab Services, Psychiatry",Fondation Bienfaisance Centre Medical Martissant 7 --Gabriel Vital,Haiti,"<a href=""/missionrecords/fondation-bienfaisance-centre-medical-gabriel-vital"">view</a>",Yes,"Includes a laboratory, a pharmacy and a HIV Screening Center. Quality medical care is available from doctors,nurses and therapists experienced in the areas of Ob-gyn, Pre and Postnatal Care, Gynecology and Pediatrics. Also offers mental health services.",,"['Fondation Bienfaisance Centre Medical Martissant 7 --Gabriel Vital', 'Port-au-Prince (Martissant)', 'Ouest', 'Haiti']",Fondation Bienfaisance,http://www.bienfaisance.org,,
33099,Long-term,Konbit Sante Cap-Haitien Health Partnership,Obstetrics and Gynecology,Fort St. Michel Clinic,Haiti,"<a href=""/missionrecords/fort-st-michel-clinic"">view</a>",Yes,The Fort St. Michel Clinic is run in cooperation with Konbit Sante and Justinian Hospital. The clinic specializes in obstetrics and gynecology as well as other women's health services.,,"['Fort St. Michel Clinic', 'Fort St. Michel', 'Nord-Ouest', 'Haiti']",Konbit Sante Cap-Haitien Health Partnership,#http://www.konbitsante.org/#,(207) 347-6733,
33100,Long-term,,"Anesthesiology, Cardiology, Dentistry, Dermatology, Endocrinology, Family or General Practice, Psychiatry",Good Samaritan Hospital (Hospital General El Buen Samaritano),Haiti,"<a href=""/missionrecords/good-samaritan-hospital-hospital-general-el-buen-samaritano"">view</a>",Yes,"January to March 2006, Good Samaritan has access to a pediatric urologist on Mondays. It has two state of the art surgery rooms, including being equipped for arthroscopy and eye surgery. Good Sam has the only dialysis treatment ward east of the capital of Santo Domingo.","Costs are very reasonable. No one is turned away who can't afford care, but generally everyone is expected to pay something. Inclusive charges are usually 500 pesos for surgery from someone from a surrounding batey and 2000 pesos for someone from the city","['Good Samaritan Hospital (Hospital General El Buen Samaritano)', 'La Romana', 'La Romana', 'Dominican Republic']",,,,
33101,Long-term,St. Boniface Haiti Foundation,"Emergency Medicine, Family or General Practice, General Surgery, Internal Medicine, Obstetrics and Gynecology, Pediatrics",Hopital Bon Samaritain (HBS),Haiti,"<a href=""/missionrecords/hopital-bon-samaritain-hbs"">view</a>",Yes,"Nurse practitioners help alongside doctors to screen, diagnose and treat patients. Emergency cases are handled day or night with a doctor on call at all times.",,"['Hopital Bon Samaritain (HBS)', 'Limbe', 'Nord-Ouest', 'Haiti']",St. Boniface Haiti Foundation,http://www.haitihealth.org/,904-272-5085,
